pargp,n_parameters,mean_of_means,mean_std,min_p05,median_p50,max_p95
GLOBAL,5,1.0022951313082047,0.1714443329820005,0.630302527724455,1.0132603616913078,1.3754669286517727
PP_LOWER,15,-0.008399552746158298,0.32796779919635843,-0.652728322919579,-0.006394391264679722,0.6016179669529637
PP_MAIN,35,-0.03196671382555005,0.352936143290954,-0.8765342575597036,-0.05192233088380135,0.7228343823484397
PP_UPPER,15,-0.00026340819962682497,0.33868565227812825,-0.675470174925893,0.023992583638131976,0.6568070571629081
