run_id,stage,obs_name,time_days_stage,time_years_total,head_m
stage_c_forward,predevelopment,compliance,1.0,0.0027378507871321013,45.828418581964264
stage_c_forward,ops_stage_1,compliance,365.25,1.0,43.7068731858521
stage_c_forward,ops_stage_1,compliance,730.5,2.0,42.36791716968058
stage_c_forward,ops_stage_1,compliance,1095.75,3.0,41.543987628630724
stage_c_forward,ops_stage_1,compliance,1461.0,4.0,40.9964056098568
stage_c_forward,ops_stage_1,compliance,1826.25,5.0,40.60200231268529
stage_c_forward,ops_stage_2,compliance,365.25,6.0,35.73391835752133
stage_c_forward,ops_stage_2,compliance,730.5,7.0,32.860981844994164
stage_c_forward,ops_stage_2,compliance,1095.75,8.0,31.15636105636271
stage_c_forward,ops_stage_2,compliance,1461.0,9.0,30.023984260494046
stage_c_forward,ops_stage_2,compliance,1826.25,10.0,29.197138927420866
stage_c_forward,ops_stage_3,compliance,365.25,11.0,25.362264351027875
stage_c_forward,ops_stage_3,compliance,730.5,12.0,23.071252213101832
stage_c_forward,ops_stage_3,compliance,1095.75,13.0,21.632715780773694
stage_c_forward,ops_stage_3,compliance,1461.0,14.0,20.637322966864108
stage_c_forward,ops_stage_3,compliance,1826.25,15.0,19.894006344459005
stage_c_forward,ops_stage_4,compliance,365.25,16.0,19.508063422199896
stage_c_forward,ops_stage_4,compliance,730.5,17.0,19.13811301498382
stage_c_forward,ops_stage_4,compliance,1095.75,18.0,18.79302172205582
stage_c_forward,ops_stage_4,compliance,1461.0,19.0,18.485812749084147
stage_c_forward,ops_stage_4,compliance,1826.25,20.0,18.218721854407097
stage_c_forward,recovery,compliance,365.25,21.0,21.665675506182854
stage_c_forward,recovery,compliance,730.5,22.0,25.396065185243227
stage_c_forward,recovery,compliance,1095.75,23.0,28.211302208010167
stage_c_forward,recovery,compliance,1461.0,24.0,30.45493111361854
stage_c_forward,recovery,compliance,1826.25,25.0,32.298847197794
stage_c_forward,recovery,compliance,2191.5,26.0,33.84548582290138
stage_c_forward,recovery,compliance,2556.75,27.0,35.16637455094039
stage_c_forward,recovery,compliance,2922.0,28.0,36.310139525711314
stage_c_forward,recovery,compliance,3287.25,29.0,37.309456384404065
stage_c_forward,recovery,compliance,3652.5,30.0,38.18697706820218
stage_c_forward,recovery,compliance,4017.75,31.0,38.95872664427502
stage_c_forward,recovery,compliance,4383.0,32.0,39.634444600483924
stage_c_forward,recovery,compliance,4748.25,33.0,40.20648076212282
stage_c_forward,recovery,compliance,5113.5,34.0,40.69247959816329
stage_c_forward,recovery,compliance,5478.75,35.0,41.136819955657735
stage_c_forward,recovery,compliance,5844.0,36.0,41.542272954264476
stage_c_forward,recovery,compliance,6209.25,37.0,41.9128338071955
stage_c_forward,recovery,compliance,6574.5,38.0,42.251654653546694
stage_c_forward,recovery,compliance,6939.75,39.0,42.561791386586556
stage_c_forward,recovery,compliance,7305.0,40.0,42.84622196019727
stage_c_forward,recovery,compliance,7670.25,41.0,43.10514609582647
stage_c_forward,recovery,compliance,8035.5,42.0,43.34196862455804
stage_c_forward,recovery,compliance,8400.75,43.0,43.55772294671473
stage_c_forward,recovery,compliance,8766.0,44.0,43.75386002125761
stage_c_forward,recovery,compliance,9131.25,45.0,43.93198986609214
stage_c_forward,recovery,compliance,9496.5,46.0,44.0936813508366
stage_c_forward,recovery,compliance,9861.75,47.0,44.24041344669189
stage_c_forward,recovery,compliance,10227.0,48.0,44.373560555007955
stage_c_forward,recovery,compliance,10592.25,49.0,44.49438175981996
stage_c_forward,recovery,compliance,10957.5,50.0,44.60402156596923
stage_c_forward,recovery,compliance,11322.75,51.0,44.70351762060307
stage_c_forward,recovery,compliance,11688.0,52.0,44.79381196276618
stage_c_forward,recovery,compliance,12053.25,53.0,44.87575768977529
stage_c_forward,recovery,compliance,12418.5,54.0,44.950124741395605
stage_c_forward,recovery,compliance,12783.75,55.0,45.01761812548847
stage_c_forward,recovery,compliance,13149.0,56.0,45.07887324557898
stage_c_forward,recovery,compliance,13514.25,57.0,45.13446569183805
stage_c_forward,recovery,compliance,13879.5,58.0,45.184921794657406
stage_c_forward,recovery,compliance,14244.75,59.0,45.23070527021877
stage_c_forward,recovery,compliance,14610.0,60.0,45.27225578229358
stage_c_forward,recovery,compliance,14975.25,61.0,45.30996521660672
stage_c_forward,recovery,compliance,15340.5,62.0,45.34418577768086
stage_c_forward,recovery,compliance,15705.75,63.0,45.37524241691313
stage_c_forward,recovery,compliance,16071.0,64.0,45.4034360111248
stage_c_forward,recovery,compliance,16436.25,65.0,45.42900665321648
stage_c_forward,recovery,compliance,16801.5,66.0,45.452212335166045
stage_c_forward,recovery,compliance,17166.75,67.0,45.473276188684984
