parnme,parval
pp_upper_001,-0.3616029940983821466815584
pp_upper_002,-0.0630021618478193851098368
pp_upper_003,0.19898464032525461919753695
pp_upper_004,0.34807783251581964067966624
pp_upper_005,0.42671681714146270092413715
pp_upper_006,9.0833601877338132624118e-03
pp_upper_007,0.06864727434287441754090509
pp_upper_008,-0.2305184395062981339563635
pp_upper_009,0.75481669640544291066674987
pp_upper_010,0.99880527302427335456513902
pp_upper_011,0.23957283371520646242380792
pp_upper_012,-0.1755370455439377308515247
pp_upper_013,0.19922745452073478689136721
pp_upper_014,0.11282135278901608832491377
pp_upper_015,0.40966920861864547509512136
pp_main_001,-0.0730463071943246999850885
pp_main_002,-0.5243324583079809197982968
pp_main_003,0.13838622954695281586090516
pp_main_004,0.63327856180773289818120020
pp_main_005,0.08081736586387479326365479
pp_main_006,-0.0533519559170666096692415
pp_main_007,-0.0626727064525136740025246
pp_main_008,0.26144281943000591272863176
pp_main_009,-0.1140873969370398144373979
pp_main_010,0.11740870909298828372868684
pp_main_011,0.26001514987465312866987688
pp_main_012,-0.1787046986988225505399441
pp_main_013,-0.0235874956825233711432688
pp_main_014,0.53316509522367760975924966
pp_main_015,-0.0658929818292144364733076
pp_main_016,-0.0413785672327738190956481
pp_main_017,0.06964029857833542447309583
pp_main_018,-0.1420765452235342451992040
pp_main_019,-0.3793431880015480373025127
pp_main_020,0.54285694509250737027628020
pp_main_021,0.05949540687430873026064759
pp_main_022,-0.1018214452151778026678386
pp_main_023,-0.3585492144856907148486869
pp_main_024,-0.0987469490332062715953754
pp_main_025,-0.0764084175718657554465807
pp_main_026,0.18466090498034096190060893
pp_main_027,-0.1081507750495310504756930
pp_main_028,0.36702929164067443768004750
pp_main_029,0.07362292165160347345853609
pp_main_030,0.17697691448190860930012036
pp_main_031,0.19890663450304968407067463
pp_main_032,0.08306225769985385587457216
pp_main_033,-0.5602721154377856560557802
pp_main_034,-0.7720699722312180934835624
pp_main_035,0.07357282593928024527762943
pp_lower_001,0.33759072460665251469436043
pp_lower_002,-0.4605129063825154078770652
pp_lower_003,-0.3494705378562916187057397
pp_lower_004,-0.3710617194807073748741288
pp_lower_005,-0.2033076585226420707197548
pp_lower_006,0.35667764173516680603626128
pp_lower_007,0.24124231178791738505751141
pp_lower_008,0.24207934528483165959045209
pp_lower_009,0.05192455959523952641054834
pp_lower_010,0.18376070604630345695085225
pp_lower_011,0.25207837788820997015903913
pp_lower_012,0.40050156305355649744015523
pp_lower_013,0.44572619321427631167154004
pp_lower_014,0.64197154752693741386337933
pp_lower_015,0.25177556114627375194459091
rch_mult,1.11180947342353841911233303
ghbcond_mult,0.74129824540234845464681257
riverbedk_mult,1.03003095119609922036829630
channel_mult,1.11080690100262624575577775
backfill_mult,0.88268675912686256346262326
