iteration,num_reals,current_lambda,current_comp_mean_phi,current_comp_std_phi,lambda_scale_fac,lambda,comp_mean_phi,comp_std_phi
1,9,10,2059.88,2434.99,0.75,1,57.8769,65.2431
1,7,10,2059.88,2434.99,1,1,11.6051,9.18633
1,9,10,2059.88,2434.99,1.1,1,17.0945,15.4201
1,9,10,2059.88,2434.99,0.75,10,63.1086,66.1105
1,8,10,2059.88,2434.99,1,10,18.0518,14.0484
1,8,10,2059.88,2434.99,1.1,10,24.8514,19.9776
1,9,10,2059.88,2434.99,0.75,100,104.675,89.8868
1,9,10,2059.88,2434.99,1,100,41.3785,32.0229
1,9,10,2059.88,2434.99,1.1,100,40.0609,27.6777
