,backfill_mult,channel_mult,ghbcond_mult,pp_lower_001,pp_lower_002,pp_lower_003,pp_lower_004,pp_lower_005,pp_lower_006,pp_lower_007,pp_lower_008,pp_lower_009,pp_lower_010,pp_lower_011,pp_lower_012,pp_lower_013,pp_lower_014,pp_lower_015,pp_main_001,pp_main_002,pp_main_003,pp_main_004,pp_main_005,pp_main_006,pp_main_007,pp_main_008,pp_main_009,pp_main_010,pp_main_011,pp_main_012,pp_main_013,pp_main_014,pp_main_015,pp_main_016,pp_main_017,pp_main_018,pp_main_019,pp_main_020,pp_main_021,pp_main_022,pp_main_023,pp_main_024,pp_main_025,pp_main_026,pp_main_027,pp_main_028,pp_main_029,pp_main_030,pp_main_031,pp_main_032,pp_main_033,pp_main_034,pp_main_035,pp_upper_001,pp_upper_002,pp_upper_003,pp_upper_004,pp_upper_005,pp_upper_006,pp_upper_007,pp_upper_008,pp_upper_009,pp_upper_010,pp_upper_011,pp_upper_012,pp_upper_013,pp_upper_014,pp_upper_015,rch_mult,riverbedk_mult
real_0013,0.9169440665404195,1.0387578944084148,1.2744520990146184,0.350752378725092,0.0953388633837769,-0.2901252349155823,0.11347904590573224,0.39645942866198214,-0.03593212834326276,0.27276370314410925,0.04803711632683494,0.5767562466648603,0.3632811638104806,0.30728477206905336,-0.23733258943300056,0.3331764493640434,0.4338672118399007,0.5817326733071129,-0.15322673370770687,-0.42305064106946627,-0.7641309305471421,-1.0715686378704072,-0.6925272703854728,0.009564076455583465,0.14170552997686717,-0.13829297126353374,-0.2994704569289686,-0.27461181988755795,-0.5823940055799377,-0.5629821194695055,-0.35911614713949264,0.03429883005702085,0.10363295841619477,0.11284160549548289,0.16806596900161713,-0.14500320388105514,-0.20476613284796755,-0.4302803238897206,0.04502608349790885,-0.08239617029136398,-0.06407026778435404,0.2971852632633466,0.52975403218893,0.2398256238859228,0.7309328546396413,0.4570875127114642,0.11998950830762703,0.11976628821476866,0.438522413517213,0.6295668053457456,-0.09031228419214103,0.8731876845822265,-0.3701499666677077,-0.4296457277556728,0.2038586482631974,-0.003954140083153169,-0.1296984078102587,0.06993559694457113,-0.0462010217167598,0.33703018754723674,-0.8314684666510438,-0.5186823458301013,-0.12188998162979381,-0.02981360349190232,0.3998190077801574,0.16996001162486807,-0.1461818313104893,0.4400612195602342,1.0069666734047436,0.7339509315789731
real_0015,0.34145712755863017,1.1659828041288356,1.1189610210109981,0.01385995362990014,0.06528806674337621,0.10623515035637619,0.483453056494296,0.39346720384084505,-0.29386268108484376,-0.7662983905403903,0.39211539350821323,0.4620430496148603,0.3295712527193708,-0.4614900144558557,-0.15369158886886583,0.04463035751691452,0.18626238669010237,0.8008388237356945,-0.6432880127767161,-0.633058030919166,-1.0301440806790172,0.30083669244353073,0.21532473341397523,-0.6383193978158495,-0.725004375996147,0.6914486038476818,-0.28089357586925445,-0.37361052165664127,0.2958394755118335,0.22091842048228205,-0.09770365762363833,-0.02990564524753192,0.3849421983058253,-0.1173373056111699,0.18574203388175692,-0.08967127463906756,-0.21588598121431932,0.10149862287679115,-0.15563378547862516,0.16046437193810573,0.018009037575082876,-0.5629415903397543,-0.5616105260667382,-0.4443027886433216,0.048302456160856176,0.4436735421562367,0.2961664832600098,0.19241299882657528,0.6795561863202384,0.30806322676534637,0.16547200019708666,0.11569983477859339,0.6225566290491953,0.2486795147421105,-0.24327103681320758,0.0032237323572660848,0.48030080459086577,0.4795704242365102,0.25469593577487587,0.16249153462701715,-0.4161513106074944,-0.23405269446549246,-0.2867884881010669,-0.009508427851608731,-0.10205699051997746,0.26551009465079817,-0.426387602721207,-0.3504592269420041,1.1026193221981722,0.8631163324924104
real_0026,1.1311849098632552,1.3080579140966866,1.1123505998603016,0.8713750529538762,0.5573870260211246,0.3223600962883603,0.405569065634586,0.24328601696643598,0.17486278152405232,0.5586805809297288,0.2004057833166332,-0.22078275263228098,0.5610744218193948,-0.08298642666213421,0.25350247932606457,-0.08069034543349543,-0.021740015660966974,0.49394818087517695,-0.5885023905679213,-0.09239516897256649,0.10204022319664757,-0.13183788339547306,0.7958600524372477,-0.3536538558452133,-0.4013076569721443,-0.1883717581388346,-0.05313272235536923,-0.48988820472678946,-0.36305077835582256,-0.12863801152593946,-0.10775697324797047,-0.44085039501098006,-0.09731909922826038,-0.36845322699622324,-0.09782421347497716,-0.09120724953338066,0.09923463182969597,-0.021215470939276695,0.2959175086914545,0.16714063562325945,0.6570354520986275,-0.6103597343317,0.0415048038716561,-0.2642251062320696,0.18567845919725,0.11823057572447461,0.3958520646031371,0.05930060262299361,-0.5545737595339744,-0.16178645789934504,0.0659961406353722,-0.05723007328114536,0.17050715694580365,0.20031517824156977,-0.05809676236263392,0.22445831419702442,0.08628161394037848,0.09555802144517869,0.40136145030275294,0.1373918606075633,-0.2611671804207446,0.3682767957581275,0.3125458255896464,0.3260528113372856,0.10665116687468468,0.05450712953293559,-0.15772417838416083,0.11183952395990898,0.9787624536514221,0.8752774793583408
real_0029,1.1428254195209921,0.9200473189296272,0.8176453798015147,-0.036355721013732495,0.39199098038507785,-0.07555308225215038,-0.10587687353507276,-0.09122105478187059,0.4362824655026023,0.2563779337968292,-0.2607968295854308,0.3958976600508507,-0.06630043013646925,0.9774966538237719,0.6881511715247858,0.4008159017090537,0.4288023721180524,0.5430761514834714,0.11780087010213007,0.1805356460132411,-0.03737557767338379,-0.0369457928775833,-0.17067299441299605,-0.0792267157873931,-0.13164711698311848,-0.13524203076209546,0.05817116276404516,-0.4285350149327093,-0.09346349754772032,-0.5509044330575723,-0.6929441211909597,0.09611951298001038,-0.3608334539039563,-0.29807055816759886,-0.23787765797073984,0.13868716490852645,0.18007715166778182,-0.3019652159898357,-0.01386976806486842,-0.18209608624192364,-0.35415768225362354,-0.25768302788858155,-0.35942057238844755,0.2721532505723125,0.20068377157273773,-0.5653918721305501,0.16904180040233138,-0.19924202063422466,-0.1998436484190088,0.24451560344472512,0.6565620202219494,0.10088689821857302,-0.024020346931710485,-0.06410636278649792,0.022916179634382687,0.12137748187018627,0.21762159761425637,-0.08708482692496615,0.2648020506100366,-0.12714225869859344,-0.40630135956933844,0.058226083423737834,0.2079096532883259,0.31037049567368374,0.009579926482969695,-0.4856278903317231,-0.020754058849964688,0.4746845730947444,1.1069759151031124,0.8215522587841545
real_0069,1.3084592862715898,1.116629545180208,0.9737875673211278,0.32542768237846553,0.07055840687709666,0.17844288065429023,-0.12048681088633097,-0.2519258115469172,0.08680919689538365,0.017238398626875637,0.21462762396625734,-0.27497586001296187,-0.44468990387014407,0.18632059978808288,0.40045599632406437,0.10960897259016927,-0.47238082335818987,-0.3666121453952027,0.13977841574033206,0.09926810356172688,0.17924899974552716,-0.14977832747326913,0.10159777203485065,-0.08577091803383219,0.1384913588356501,0.49623347012995594,-0.15057994990812612,-0.507167853752468,-0.05868657365342722,0.003849110891938734,0.14879292434736147,-0.03470386181276924,-0.24000457477882056,0.21532088713318953,0.1681030336100362,-0.06898799568151737,-0.0017057265746167616,-0.26182077697046513,0.06759526333365892,0.03984612265554594,-0.14076466751191274,-0.1171042982151781,-0.3384868542680651,-0.19914474382144287,-0.1489772481122764,-0.3028645288728112,0.05824417846717139,-0.7164697985909357,-0.317214875008745,-0.1205867626442109,-0.182449628824144,0.2420024492218545,0.10909358384205259,-0.3318609692966693,0.09527599428578933,-0.009553663784296451,-0.281852396699788,-0.17633105231576474,0.12494100804878555,-0.11643781723077255,-0.21212293650326716,-0.06936269559215234,0.014746924270175918,-0.12622735781253264,0.26448230668279415,-0.4768822875661533,-0.08372921442764428,-0.17833302365918247,1.091487209188403,1.1286008816376256
real_0079,1.1133475558437558,0.7506014655024937,1.2267691901194937,0.09778224056962535,-0.18363754564176676,-0.03347892900280678,-0.6139049518111914,0.09889716065722778,0.26190897951944087,0.5273711559080068,-0.054552824097704206,-0.6922342017490243,-0.3189920708910097,0.0820430034179824,-0.06033899667828352,-0.03273421580800678,-0.19996366503744756,-0.012930690335017779,0.17479281976152533,0.3294119283715325,0.17683135873042877,-0.09937662773695062,-0.051806676412808755,-0.05668699827346488,-0.37153919076411923,-0.49308900080834245,-0.8175335601507596,-0.18340326756684827,-0.26516216978143037,-0.09556653119807193,0.47661949271006243,-0.8614152837916036,0.6085996114416806,0.3205951516197507,0.07539335720101961,0.22013337473548217,0.307809562198994,0.12060953432810999,-0.1826078872202628,0.2013935246995507,0.0938969264404636,-0.7621942481145918,0.3373174384489007,-0.17637097401099985,-0.1849938210914349,0.342686965867789,-0.13178395869237805,-0.3437104680950688,-0.23976967120513498,-0.30696696317262645,-0.12246832547372172,-0.6195295960863678,0.08565114750038352,0.7416707190016296,0.2725457451852977,0.4004181572489955,0.08905463504377127,-0.7373451035843314,0.3791594104615686,0.1628139061120291,0.006196664657709773,-0.05957540748440397,-0.5890098631880436,-0.1109395442368099,-0.36983851066626316,-0.1676375053739953,0.06898176515652502,-0.41010007647041624,1.1017862568918289,1.1090452785703362
real_0001,0.6579318582726568,1.0331247091852984,1.2546894260762769,0.5510027879628668,-0.12807129510522808,0.5003170188251064,0.27993964318278347,0.08042664501753344,-0.2777279379560125,-0.06554903778438323,-0.044484604126663066,0.5915325531589523,0.4453307488532095,0.11838321166423138,-0.31859667904511524,0.09915715926795615,0.1664143460037399,-0.4090381380283864,0.4068034936452719,0.8064558683399096,0.403154261518601,-0.5615331046305156,0.03118020094511051,-0.12342845750407537,-0.05971682053098569,0.37840765023057177,0.348850936088695,0.5813698899131494,-0.0019434037101372023,-0.0033197444181548297,-0.7495796440407579,0.3458327377464982,-0.6529508292500397,-0.0960414964687272,0.014416887898133168,-0.042799991336658905,-0.030965798627207552,-0.40649402245031124,-0.05796019388418705,-0.40382469769749896,-0.5020586325630205,-0.7613131718912804,-0.20388746289852067,0.03959553307072376,-0.13517582204125228,0.7318407424691613,-0.8150403646726082,-0.7246819933059515,0.109672490035537,-0.3229790259196919,0.10003467517245233,0.2192198824532666,1.0058128262823853,0.09035290039464351,-0.14413562510153885,-0.24262778468822593,-0.01603707943619588,0.37781428959025853,-0.07654738202911034,0.10269441456243368,-0.1389157838946767,-0.5016614458229598,-0.4010506726843178,0.39269147601335613,0.7118363496060652,0.42489971365018714,-0.011385395463093605,-0.1690845052719473,1.059918844087875,1.074061199205861
real_0002,0.9049139199103554,0.975599649987033,0.7948077246980164,0.34831749917349053,-0.133761719002622,0.4809200163867932,0.353265322500557,-0.6354932442227756,0.05555896921657704,-0.42224158399369105,-0.011386476465023238,0.06504078870259311,0.23540694769157094,-0.16867159951621327,-0.8198633330862248,-0.2216159977777408,0.33953755526121254,0.10359980604813371,-0.11301799269561863,0.804581741411509,-0.30594355737275053,0.07891718761158345,0.02473146365320475,0.5087462486907248,0.18151614569179714,0.19174900897384958,0.13547619016094736,0.11153021022272155,0.012368200473030999,-0.006772064964806396,0.1573748341014388,0.3110214912183341,-0.2846054482747975,-0.3412244072623082,-0.29747827008094574,-0.010744660943044715,0.029679481442769773,-0.137889196077442,0.736445010499699,-0.24945636533576748,-0.23821737701962073,0.392446138285867,0.6348495337397096,0.10693610868701622,-0.5377320380361997,-0.039275263149942924,-0.439371327041441,0.42878946484755187,0.3805105908388701,0.08224689344702538,-0.3597385149894883,-0.5504971517351622,-0.3110285289230602,0.1640612330838359,-0.15746480493771203,0.8966868855067269,0.5349826155450439,-0.19166106702366725,-0.041285923072780124,0.0748310003891806,0.370674350987489,0.15258490939086322,-0.10111302656042806,0.7300123313037035,0.052220042739564876,-0.16837221236717242,0.2831149112590787,-0.2291540120627047,0.844278007074283,0.9186834780873417
real_0003,1.1675515140436974,0.933715026268907,1.1312164548516153,-0.603466502307998,0.09978810123180738,0.306628292435296,0.21982723305115945,0.10136387857695595,-0.18498050135439276,-0.1543507587280909,-0.30870395264962286,-0.5979521625218907,-0.27922233214310876,0.09536962552065302,0.07936463093946447,-0.32142336601350985,-0.13429068018840853,-0.4520116725711831,-0.869845706959812,-0.4206930043862003,0.4400161179301476,-0.6626289899287012,-0.33182669175810886,0.33155003746047895,-0.41427231363055234,-0.948148132811026,0.21979205330502483,0.4512497011809528,0.16725509337221012,0.10967062883475343,0.11993429424225843,-0.12247330035756737,0.345381004173117,0.23493632946748538,0.32637244250604563,0.020545768796085495,-0.21325209611725487,0.045135673301106904,-0.1010168473720115,0.5692620109209547,0.6067646012362519,-0.5750177226964728,-0.6334882722209411,-0.09339853010462995,0.14177217503366119,-0.03787660427935105,-0.21947100460551622,-0.3783394617982726,-0.7791194160251341,-0.9649001561619976,-0.7377560313380438,0.7115442646780059,0.582118657558884,-0.3549540049337444,0.044916339850626,-0.3290036441777849,-0.24298576558167675,0.3724129209428969,-0.2338903957220807,-0.13505589553829908,-0.5144502338727803,0.18167175972573907,0.5132374500635308,0.018191606398465968,-0.09409116707541759,-0.04132032243453395,-0.33537916207167934,-0.6490357263922916,1.0895206330072262,1.269106948568202
real_0006,0.8140518252490285,1.1829118458863304,0.9013629751080332,0.11216086995340435,-0.03705895759089567,0.2614832179790362,0.33921688024256663,0.20553377079551083,-0.3590212887125608,0.6183625089155987,0.3491428281920391,0.36252377636476063,-0.11853323526367021,-0.15916139932016404,0.3429334296318635,0.13160184100740724,0.3605308573367021,-0.10944204438423227,0.3210351884369339,0.2757012985792314,0.48209965872247856,-0.17998095994916471,-0.44566514661882084,0.14822979702801725,-0.3445717940355003,-0.029571184349549418,0.5863989091003574,-0.10850805094719901,0.3020465507331104,0.19968187293928602,-0.28943090508074115,-0.3939264031987408,-0.34435497208154475,0.35677683908941626,-0.1412828276715129,-0.12707005934567783,-0.02834765935402822,0.18748122196449374,-0.037218645896525765,-0.3647602090102571,-0.3636457409048692,-0.07348470107988878,0.14628984051966976,-0.09529203318627658,0.17084172756864535,0.8631062256919975,0.06815493836077813,0.2674002889955134,0.11558899658836835,0.005326769710694762,-0.09444404781038254,-0.07895370092607584,0.204068380380599,-0.18423463872788975,0.04497237679681283,-0.13543191102646518,0.15257347779321545,0.3509087666694357,0.12602066091621214,-0.17675815443330475,-0.1157711767109957,-0.05352902871226335,-0.44782281002296026,-0.02628205917957206,-0.3486229983188337,-0.3554725537242508,-0.41013455838382323,-0.60004723387078,0.873876995877978,1.1565843534784155
