parnme,pargp,par_type,parval1,parlbnd,parubnd,sigma,corr_len_m,x_m,y_m,target_layers_csv
pp_upper_001,PP_UPPER,pilot_point_log10mult,0.0,-1.0,1.0,0.35,2200.0,1200.0,1200.0,0
pp_upper_002,PP_UPPER,pilot_point_log10mult,0.0,-1.0,1.0,0.35,2200.0,3600.0,1200.0,0
pp_upper_003,PP_UPPER,pilot_point_log10mult,0.0,-1.0,1.0,0.35,2200.0,6000.0,1200.0,0
pp_upper_004,PP_UPPER,pilot_point_log10mult,0.0,-1.0,1.0,0.35,2200.0,8400.0,1200.0,0
pp_upper_005,PP_UPPER,pilot_point_log10mult,0.0,-1.0,1.0,0.35,2200.0,10800.0,1200.0,0
pp_upper_006,PP_UPPER,pilot_point_log10mult,0.0,-1.0,1.0,0.35,2200.0,1200.0,3600.0,0
pp_upper_007,PP_UPPER,pilot_point_log10mult,0.0,-1.0,1.0,0.35,2200.0,3600.0,3600.0,0
pp_upper_008,PP_UPPER,pilot_point_log10mult,0.0,-1.0,1.0,0.35,2200.0,6000.0,3600.0,0
pp_upper_009,PP_UPPER,pilot_point_log10mult,0.0,-1.0,1.0,0.35,2200.0,8400.0,3600.0,0
pp_upper_010,PP_UPPER,pilot_point_log10mult,0.0,-1.0,1.0,0.35,2200.0,10800.0,3600.0,0
pp_upper_011,PP_UPPER,pilot_point_log10mult,0.0,-1.0,1.0,0.35,2200.0,1200.0,6000.0,0
pp_upper_012,PP_UPPER,pilot_point_log10mult,0.0,-1.0,1.0,0.35,2200.0,3600.0,6000.0,0
pp_upper_013,PP_UPPER,pilot_point_log10mult,0.0,-1.0,1.0,0.35,2200.0,6000.0,6000.0,0
pp_upper_014,PP_UPPER,pilot_point_log10mult,0.0,-1.0,1.0,0.35,2200.0,8400.0,6000.0,0
pp_upper_015,PP_UPPER,pilot_point_log10mult,0.0,-1.0,1.0,0.35,2200.0,10800.0,6000.0,0
pp_main_001,PP_MAIN,pilot_point_log10mult,0.0,-1.2,1.2,0.45,1800.0,800.0,800.0,1;2;3;4
pp_main_002,PP_MAIN,pilot_point_log10mult,0.0,-1.2,1.2,0.45,1800.0,2400.0,800.0,1;2;3;4
pp_main_003,PP_MAIN,pilot_point_log10mult,0.0,-1.2,1.2,0.45,1800.0,4000.0,800.0,1;2;3;4
pp_main_004,PP_MAIN,pilot_point_log10mult,0.0,-1.2,1.2,0.45,1800.0,5600.0,800.0,1;2;3;4
pp_main_005,PP_MAIN,pilot_point_log10mult,0.0,-1.2,1.2,0.45,1800.0,7200.0,800.0,1;2;3;4
pp_main_006,PP_MAIN,pilot_point_log10mult,0.0,-1.2,1.2,0.45,1800.0,8800.0,800.0,1;2;3;4
pp_main_007,PP_MAIN,pilot_point_log10mult,0.0,-1.2,1.2,0.45,1800.0,10400.0,800.0,1;2;3;4
pp_main_008,PP_MAIN,pilot_point_log10mult,0.0,-1.2,1.2,0.45,1800.0,800.0,2400.0,1;2;3;4
pp_main_009,PP_MAIN,pilot_point_log10mult,0.0,-1.2,1.2,0.45,1800.0,2400.0,2400.0,1;2;3;4
pp_main_010,PP_MAIN,pilot_point_log10mult,0.0,-1.2,1.2,0.45,1800.0,4000.0,2400.0,1;2;3;4
pp_main_011,PP_MAIN,pilot_point_log10mult,0.0,-1.2,1.2,0.45,1800.0,5600.0,2400.0,1;2;3;4
pp_main_012,PP_MAIN,pilot_point_log10mult,0.0,-1.2,1.2,0.45,1800.0,7200.0,2400.0,1;2;3;4
pp_main_013,PP_MAIN,pilot_point_log10mult,0.0,-1.2,1.2,0.45,1800.0,8800.0,2400.0,1;2;3;4
pp_main_014,PP_MAIN,pilot_point_log10mult,0.0,-1.2,1.2,0.45,1800.0,10400.0,2400.0,1;2;3;4
pp_main_015,PP_MAIN,pilot_point_log10mult,0.0,-1.2,1.2,0.45,1800.0,800.0,4000.0,1;2;3;4
pp_main_016,PP_MAIN,pilot_point_log10mult,0.0,-1.2,1.2,0.45,1800.0,2400.0,4000.0,1;2;3;4
pp_main_017,PP_MAIN,pilot_point_log10mult,0.0,-1.2,1.2,0.45,1800.0,4000.0,4000.0,1;2;3;4
pp_main_018,PP_MAIN,pilot_point_log10mult,0.0,-1.2,1.2,0.45,1800.0,5600.0,4000.0,1;2;3;4
pp_main_019,PP_MAIN,pilot_point_log10mult,0.0,-1.2,1.2,0.45,1800.0,7200.0,4000.0,1;2;3;4
pp_main_020,PP_MAIN,pilot_point_log10mult,0.0,-1.2,1.2,0.45,1800.0,8800.0,4000.0,1;2;3;4
pp_main_021,PP_MAIN,pilot_point_log10mult,0.0,-1.2,1.2,0.45,1800.0,10400.0,4000.0,1;2;3;4
pp_main_022,PP_MAIN,pilot_point_log10mult,0.0,-1.2,1.2,0.45,1800.0,800.0,5600.0,1;2;3;4
pp_main_023,PP_MAIN,pilot_point_log10mult,0.0,-1.2,1.2,0.45,1800.0,2400.0,5600.0,1;2;3;4
