iteration,total_runs,obs_realization,par_realization,forecast_compliance,forecast_receptor,forecast_recovery,forecast_inflow,head_compliance,head_landholder,head_receptor,budget_mineinflow
1,140,real_0017,real_0017,0,0,0,0,69.7698,12.5914,39.6074,2.80527
1,140,real_0018,real_0018,0,0,0,0,6.60411,2.78368,2.1448,1.13332
1,140,real_0019,real_0019,0,0,0,0,19.6156,2.57264,6.39423,3.03183
1,140,real_0020,real_0020,0,0,0,0,112.349,12.1725,14.7173,3.76178
1,140,real_0026,real_0026,0,0,0,0,36.0622,0.117162,0.591949,13.8276
1,140,real_0028,real_0028,0,0,0,0,147.303,4.0734,11.4255,1.76493
1,140,real_0029,real_0029,0,0,0,0,42.5322,1.58914,1.29957,27.6203
1,140,real_0034,real_0034,0,0,0,0,70.8349,2.31219,3.63442,8.50962
1,140,real_0035,real_0035,0,0,0,0,29.1998,1.13515,6.13038,1.40449
1,140,real_0036,real_0036,0,0,0,0,77.402,0.548555,1.86682,2.92308
1,140,real_0038,real_0038,0,0,0,0,6.76647,0.218227,0.398603,2.27308
1,140,real_0040,real_0040,0,0,0,0,14.2433,4.98906,6.78194,0.994149
1,140,real_0044,real_0044,0,0,0,0,57.1011,48.6726,86.9963,1.79955
1,140,real_0045,real_0045,0,0,0,0,33.1113,1.73632,2.45276,2.4985
1,140,real_0046,real_0046,0,0,0,0,38.2981,1.62399,0.364132,0.0354586
1,140,real_0047,real_0047,0,0,0,0,25.3105,10.0795,33.1737,2.42242
1,140,real_0051,real_0051,0,0,0,0,19.319,0.0339233,0.282495,21.2872
1,140,real_0054,real_0054,0,0,0,0,51.8766,4.06872,8.89949,2.59671
1,140,real_0057,real_0057,0,0,0,0,181.479,9.50628,16.9381,4.01449
1,140,real_0059,real_0059,0,0,0,0,16.7899,1.09395,5.83177,1.08164
1,140,real_0062,real_0062,0,0,0,0,36.6263,1.45321,6.97642,8.23243
1,140,real_0063,real_0063,0,0,0,0,43.7149,4.38037,14.0298,1.96171
1,140,real_0064,real_0064,0,0,0,0,130.882,0.407137,7.13241,2.49975
1,140,real_0065,real_0065,0,0,0,0,68.3687,5.14865,26.2897,12.3072
1,140,real_0066,real_0066,0,0,0,0,24.8673,0.756731,14.9014,1.97704
1,140,real_0067,real_0067,0,0,0,0,62.1638,0.977163,2.85871,33.3997
1,140,real_0068,real_0068,0,0,0,0,109.506,0.0366,0.331675,12.3994
1,140,real_0069,real_0069,0,0,0,0,22.368,0.360796,1.26012,1.73947
1,140,real_0070,real_0070,0,0,0,0,78.4822,0.580583,4.72497,10.063
1,140,real_0071,real_0071,0,0,0,0,509.023,2.45083,1.37005,20.7636
1,140,real_0072,real_0072,0,0,0,0,254.966,0.180622,0.445585,10.183
1,140,real_0073,real_0073,0,0,0,0,32.418,49.5809,127.814,0.680815
1,140,real_0074,real_0074,0,0,0,0,10.6417,0.205225,3.72484,0.409711
1,140,real_0075,real_0075,0,0,0,0,17.0025,8.47344,16.4398,3.30506
1,140,real_0076,real_0076,0,0,0,0,9.33969,3.36692,5.80475,2.08714
1,140,real_0084,real_0084,0,0,0,0,35.2263,5.51508,13.7677,1.62451
1,140,real_0086,real_0086,0,0,0,0,250.821,5.30372,10.6788,20.5198
1,140,real_0090,real_0090,0,0,0,0,23.7478,1.6558,6.41536,0.964802
1,140,real_0094,real_0094,0,0,0,0,318.377,9.52548,19.7269,18.4585
1,140,real_0095,real_0095,0,0,0,0,17.4682,0.192547,0.246654,0.045272
1,140,real_0096,real_0096,0,0,0,0,94.9696,1.2892,7.61015,22.8375
1,140,real_0099,real_0099,0,0,0,0,62.8715,13.0859,23.5507,4.70753
2,219,base,base,0,0,0,0,1.13983e-17,1.69711e-18,1.0411e-17,2.32154e-20
2,219,real_0002,real_0002,0,0,0,0,8.08863,0.119282,1.32742,0.671065
2,219,real_0003,real_0003,0,0,0,0,30.1535,0.513661,1.3442,3.32261
2,219,real_0006,real_0006,0,0,0,0,33.4151,0.0524263,0.152005,0.218194
2,219,real_0010,real_0010,0,0,0,0,49.3297,6.90291,11.812,11.2433
2,219,real_0011,real_0011,0,0,0,0,15.1617,0.640841,0.931733,0.698522
2,219,real_0014,real_0014,0,0,0,0,10.1346,0.222439,0.203101,0.824935
2,219,real_0015,real_0015,0,0,0,0,9.43195,0.00335722,0.0482109,10.3905
2,219,real_0017,real_0017,0,0,0,0,20.4363,0.23373,2.54297,2.87138
2,219,real_0018,real_0018,0,0,0,0,3.57019,1.1769,0.324,0.379033
2,219,real_0019,real_0019,0,0,0,0,5.82036,0.239431,1.08295,1.21927
2,219,real_0020,real_0020,0,0,0,0,13.107,6.07176,4.83018,4.63262
2,219,real_0026,real_0026,0,0,0,0,17.3414,0.2688,0.325054,8.23748
2,219,real_0029,real_0029,0,0,0,0,17.0754,0.0617008,0.13289,16.7412
2,219,real_0034,real_0034,0,0,0,0,15.8166,0.435739,0.297533,2.27856
2,219,real_0035,real_0035,0,0,0,0,2.94756,0.0208455,0.440338,1.69186
2,219,real_0036,real_0036,0,0,0,0,36.7317,0.505735,1.67928,0.244503
2,219,real_0038,real_0038,0,0,0,0,1.49022,0.0642712,0.313041,0.694701
2,219,real_0040,real_0040,0,0,0,0,7.03015,2.50101,3.20339,0.594089
2,219,real_0044,real_0044,0,0,0,0,37.2028,2.30646,3.56543,0.576182
2,219,real_0045,real_0045,0,0,0,0,8.92699,0.0690393,0.103684,0.501596
2,219,real_0046,real_0046,0,0,0,0,13.4428,0.984596,0.244612,0.152557
2,219,real_0047,real_0047,0,0,0,0,6.37045,1.79901,4.05363,0.957856
2,219,real_0051,real_0051,0,0,0,0,6.14831,0.185158,0.172952,7.0097
2,219,real_0054,real_0054,0,0,0,0,25.1558,1.99668,3.8927,0.417104
2,219,real_0057,real_0057,0,0,0,0,170.591,5.45131,10.0848,1.28401
2,219,real_0059,real_0059,0,0,0,0,4.75248,0.817271,4.17841,0.25835
2,219,real_0062,real_0062,0,0,0,0,9.75771,0.327109,2.24056,3.41596
2,219,real_0063,real_0063,0,0,0,0,30.9367,0.41766,1.21299,0.788072
2,219,real_0064,real_0064,0,0,0,0,105.181,0.0429626,0.494552,2.08799
2,219,real_0065,real_0065,0,0,0,0,14.1024,0.281689,0.283116,1.9873
2,219,real_0066,real_0066,0,0,0,0,5.55348,0.0764539,7.98142,1.17681
2,219,real_0067,real_0067,0,0,0,0,44.0323,0.13261,0.657275,12.3744
2,219,real_0068,real_0068,0,0,0,0,21.034,0.541282,0.0949013,4.68013
2,219,real_0069,real_0069,0,0,0,0,3.64867,0.0273651,0.144617,1.05788
2,219,real_0070,real_0070,0,0,0,0,29.5054,0.134883,2.63266,1.81549
2,219,real_0071,real_0071,0,0,0,0,200.506,0.874047,0.448529,4.11012
2,219,real_0072,real_0072,0,0,0,0,27.9302,0.149791,3.12021,1.0971
2,219,real_0074,real_0074,0,0,0,0,3.6137,0.162722,0.813361,0.221209
2,219,real_0075,real_0075,0,0,0,0,14.4908,0.666632,1.48447,1.22299
2,219,real_0076,real_0076,0,0,0,0,2.96945,1.54679,2.22812,0.203349
2,219,real_0086,real_0086,0,0,0,0,69.0775,3.21561,5.89401,4.53887
2,219,real_0094,real_0094,0,0,0,0,26.0208,2.06349,5.5689,4.70619
2,219,real_0095,real_0095,0,0,0,0,2.29183,0.0206139,0.949871,0.119416
2,219,real_0096,real_0096,0,0,0,0,25.1344,1.07348,5.87914,11.3921
2,219,real_0099,real_0099,0,0,0,0,18.7705,3.99452,5.96625,4.96368
3,294,base,base,0,0,0,0,8.9468e-08,1.16208e-09,1.04826e-09,8.22078e-12
3,294,real_0002,real_0002,0,0,0,0,0.395447,0.122252,0.575424,0.135122
3,294,real_0003,real_0003,0,0,0,0,10.0286,0.1914,0.869224,0.509154
3,294,real_0006,real_0006,0,0,0,0,1.87317,0.124534,0.110609,0.477639
3,294,real_0010,real_0010,0,0,0,0,9.16869,0.802555,1.08629,0.237322
3,294,real_0011,real_0011,0,0,0,0,1.31851,0.182702,0.196851,0.0753836
3,294,real_0014,real_0014,0,0,0,0,4.38594,0.0346463,0.169942,0.0386645
3,294,real_0015,real_0015,0,0,0,0,1.57729,0.027857,0.0111116,0.870595
3,294,real_0017,real_0017,0,0,0,0,2.89898,0.623746,0.292139,0.14316
3,294,real_0018,real_0018,0,0,0,0,0.252157,0.315136,0.00524626,0.0410912
3,294,real_0019,real_0019,0,0,0,0,0.369595,0.00510953,0.248613,0.0608687
3,294,real_0020,real_0020,0,0,0,0,9.69455,1.97929,0.399909,1.40633
3,294,real_0026,real_0026,0,0,0,0,1.86676,0.0379746,0.19475,1.12496
3,294,real_0029,real_0029,0,0,0,0,1.3872,0.120078,0.106995,2.90537
3,294,real_0034,real_0034,0,0,0,0,0.307046,0.0841089,0.522557,0.166326
3,294,real_0035,real_0035,0,0,0,0,0.204064,0.0752052,0.214031,0.353589
3,294,real_0036,real_0036,0,0,0,0,3.4635,0.163352,2.02091,0.216403
3,294,real_0038,real_0038,0,0,0,0,0.160061,0.0494684,0.287281,0.0678733
3,294,real_0040,real_0040,0,0,0,0,1.1887,0.476519,0.503204,0.0852189
3,294,real_0045,real_0045,0,0,0,0,1.5363,0.082487,0.0607655,0.0384988
3,294,real_0046,real_0046,0,0,0,0,2.21673,0.520286,0.34368,0.187601
3,294,real_0051,real_0051,0,0,0,0,0.41873,0.303058,0.255151,0.534532
3,294,real_0054,real_0054,0,0,0,0,7.62042,0.247025,0.143259,0.0143336
3,294,real_0057,real_0057,0,0,0,0,3.61818,0.558351,1.43106,0.171999
3,294,real_0059,real_0059,0,0,0,0,0.481479,0.358973,2.40711,0.0256661
3,294,real_0062,real_0062,0,0,0,0,2.78197,0.0535947,0.435961,0.200417
3,294,real_0063,real_0063,0,0,0,0,2.86031,0.203392,0.850581,0.237019
3,294,real_0064,real_0064,0,0,0,0,15.8667,0.0547194,0.0449506,0.655813
3,294,real_0065,real_0065,0,0,0,0,1.28744,0.0865167,0.228883,0.297997
3,294,real_0066,real_0066,0,0,0,0,0.415467,1.26035,0.721673,0.221206
3,294,real_0067,real_0067,0,0,0,0,1.16761,0.114821,1.63846,0.437511
3,294,real_0068,real_0068,0,0,0,0,3.05435,0.296243,0.052162,0.548317
3,294,real_0069,real_0069,0,0,0,0,0.192271,0.0214121,0.0107805,0.0885595
3,294,real_0070,real_0070,0,0,0,0,1.78627,0.188194,0.340839,0.49377
3,294,real_0071,real_0071,0,0,0,0,16.0593,0.250103,0.250777,0.0832118
3,294,real_0072,real_0072,0,0,0,0,0.946857,0.00890927,1.05983,0.0093789
3,294,real_0074,real_0074,0,0,0,0,0.282129,0.238467,0.390795,0.0417868
3,294,real_0075,real_0075,0,0,0,0,0.552475,0.0144662,0.202214,0.46304
3,294,real_0076,real_0076,0,0,0,0,0.840276,0.24734,0.167155,0.0367483
3,294,real_0086,real_0086,0,0,0,0,1.02074,0.863629,0.80051,0.0747081
3,294,real_0094,real_0094,0,0,0,0,10.0021,0.0100029,0.26307,0.472484
3,294,real_0095,real_0095,0,0,0,0,0.24274,0.059781,0.291788,0.0735413
3,294,real_0099,real_0099,0,0,0,0,0.337932,0.259081,0.206934,0.754636
