parnme,parval
pp_upper_001,0.10178346891309210386911133
pp_upper_002,0.07897506009467752940977903
pp_upper_003,0.05186136774684882433383848
pp_upper_004,0.26308692212904388751937290
pp_upper_005,0.22366807887260187204248041
pp_upper_006,-0.1587275571085604575216621
pp_upper_007,-0.1573904686223626114838225
pp_upper_008,0.25109519796187340645587938
pp_upper_009,0.22390392557787286431647544
pp_upper_010,0.72100126723002877504598018
pp_upper_011,0.07806301382322651527534418
pp_upper_012,5.1956864010781061979927e-03
pp_upper_013,-0.5013992960870021775576788
pp_upper_014,0.50450062558215513774939609
pp_upper_015,-0.0185600452406920052306205
pp_main_001,0.51493720634946038572365978
pp_main_002,0.05691740660528614437208006
pp_main_003,0.22636584189622391272145308
pp_main_004,-0.5411068364478988090837674
pp_main_005,0.44694607639763006545763346
pp_main_006,0.37896911402119115575004571
pp_main_007,-0.1614997229769782882691231
pp_main_008,-0.4031323968286728010035347
pp_main_009,-0.0774521674947269006539230
pp_main_010,-0.1507757717620526460855501
pp_main_011,-0.0985086950347682094308865
pp_main_012,0.41323972916098761221093127
pp_main_013,-0.0565118329792239915132512
pp_main_014,-0.4166836273304163063002648
pp_main_015,-0.3959682721287174356206151
pp_main_016,-0.0865402672894559077398924
pp_main_017,-0.0935375290077047893966267
pp_main_018,0.11429497569857480221422463
pp_main_019,0.05586819075054924588208394
pp_main_020,-0.1869098747315808273228299
pp_main_021,-0.2853233200380329015466430
pp_main_022,0.18556016600419311668446198
pp_main_023,0.21066745721787810685654563
pp_main_024,-0.3051731013432161243592589
pp_main_025,0.03037032468916424365890094
pp_main_026,-0.0914565730851456676342437
pp_main_027,-0.1104007145493595687391064
pp_main_028,-0.0510736669983805346983985
pp_main_029,0.47531350894645302274099663
pp_main_030,-0.0340274368616131778209066
pp_main_031,-0.2783930096813718724213516
pp_main_032,0.01616650681296554620258732
pp_main_033,-0.4721468602353492416412450
pp_main_034,-0.1596845520606550161701875
pp_main_035,0.15294815196978153726270477
pp_lower_001,-0.2084407034274650405425433
pp_lower_002,0.02154550395147487862335112
pp_lower_003,0.04418106002876844018434355
pp_lower_004,-0.2119306693803778007811900
pp_lower_005,-0.4203062916356251066396510
pp_lower_006,-0.4383025951991074142810589
pp_lower_007,0.45070028908154213809211797
pp_lower_008,0.07942894223641216999709513
pp_lower_009,0.24384836312902380406342218
pp_lower_010,-0.2774295412180058928441895
pp_lower_011,-0.2235505409910380769655802
pp_lower_012,0.31332709903373395787795630
pp_lower_013,-0.5088593179061181581701589
pp_lower_014,-0.0825695742761257817088349
pp_lower_015,-0.1696701426108541133075391
rch_mult,0.89134674846957451244122694
ghbcond_mult,1.06065388727521670020337297
riverbedk_mult,0.96189512337833849020540811
channel_mult,0.89835804170996758077905042
backfill_mult,1.23261440338369854252675850
