scenario,realization,fcst_max_compliance_dd,fcst_max_receptor_dd,fcst_recovery_years,fcst_stage4_mean_inflow
S0_BASE,real_0001,26.42970775178624,1.1138336803721884,27.0,36533.372618163994
S0_BASE,real_0002,26.083267652287088,1.6823550615413083,25.0,45659.69586430824
S0_BASE,real_0003,24.62798691466688,2.4351049010062056,20.0,60716.6421463097
S0_BASE,real_0004,11.237062604883072,1.5778300185076333,20.0,31998.04674060963
S0_BASE,real_0006,34.14072052981106,2.6116897887379835,39.0,44543.19311165351
S0_BASE,real_0008,11.9728472875663,0.5131560897512202,27.0,18031.240998635993
S0_BASE,real_0009,36.51951800017298,1.224104857721116,39.0,46045.426498231755
S0_BASE,real_0010,12.14700680102218,0.34700064457540947,44.0,16730.01493655548
S0_BASE,real_0011,20.06914557313755,1.2689876926911978,28.0,32918.30510232516
S0_BASE,real_0012,23.077105888838712,0.4447930571378862,50.0,21982.05064424536
S0_BASE,real_0017,21.120203316819378,3.2822483272723915,24.0,44182.33407591337
S0_BASE,real_0018,25.52443576253074,2.023345545246073,23.0,48231.89191695644
S0_BASE,real_0019,21.85063368005869,1.3749641430595858,31.0,33575.06726773635
S0_BASE,real_0020,18.74874879243377,0.7803698625675111,24.0,41721.70843436736
S0_BASE,real_0021,22.135099465773113,0.8935735061162333,19.0,59902.55576762177
S0_BASE,real_0022,26.707155550061003,0.8153829015906808,37.0,44488.86688529582
S0_BASE,real_0023,16.4539380473422,0.6649282699141139,28.0,35113.21186217696
S0_BASE,real_0026,22.10349891624122,1.0717058073188852,28.0,32447.04230644185
S0_BASE,real_0027,12.100616913622943,0.5720593393006013,24.0,22974.129827730645
S0_BASE,real_0028,16.970423115746986,0.4454491338718398,29.0,38783.480413172365
S0_BASE,real_0029,20.336890536756762,0.805398922464768,38.0,23667.251285050657
S0_BASE,real_0030,35.09390182920791,3.4777088951168196,28.0,66378.89911959521
S0_BASE,real_0031,21.645706229494177,0.7126857432643376,28.0,56986.681409425815
S0_BASE,real_0032,15.736760960583968,0.7983725702787368,21.0,27991.49930434315
S0_BASE,real_0034,23.04462313826711,0.81954204936563,37.0,29679.26487373518
S0_BASE,real_0035,24.97018435251399,2.7301771175615315,23.0,45871.23204976548
S0_BASE,real_0036,20.565884020930806,1.2943925531957419,27.0,39497.29017977907
S0_BASE,real_0038,21.05581511498977,0.9164164960519798,29.0,33223.207509247244
S0_BASE,real_0039,28.9922767445464,0.7416154426318542,23.0,62088.84325265534
S0_BASE,real_0040,22.93080660950024,0.9983388740259471,26.0,36339.539103373
S0_BASE,real_0041,17.432358671949437,0.9503897811202151,27.0,37145.56145700648
S0_BASE,real_0044,14.866145603137088,2.4770997787450213,19.0,38290.831221595356
S0_BASE,real_0045,28.02749222598279,3.020759108059522,22.0,57048.30888844414
S0_BASE,real_0046,21.27081845484029,1.1505551182573868,20.0,41422.8596964798
S0_BASE,real_0047,15.161670122879997,1.2541773091494406,21.0,37121.80269655831
S0_BASE,real_0048,9.071842468133141,0.732532992242902,30.0,15775.266323596345
S0_BASE,real_0049,28.216478307456388,2.616967965540958,28.0,48971.38637108801
S0_BASE,real_0051,20.258465345956527,1.424480511802038,21.0,53006.858570329336
S0_BASE,real_0052,12.941762068737955,0.3882522494630294,46.0,15860.26842670599
S0_BASE,real_0054,24.678247936383922,1.1496971206210844,24.0,46063.031959014785
S0_BASE,real_0055,16.917314588450193,1.0414785181126618,25.0,31260.18431894743
S0_BASE,real_0057,30.77758229226987,10.469119029997607,15.0,76830.29219056743
S0_BASE,real_0059,24.066844398454403,0.7901898132255312,34.0,34667.68696052233
S0_BASE,real_0060,28.28496044952243,1.2330847640371942,24.0,58910.04436379464
S0_BASE,real_0061,15.45803673297549,1.1926639438760063,29.0,23393.550488484787
S0_BASE,real_0062,17.284673903425787,1.2765581816253473,27.0,29175.646877749037
S0_BASE,real_0063,17.83621313148752,1.595416099905563,21.0,42443.5326295107
S0_BASE,real_0064,20.142306044853353,2.179003777168539,22.0,39430.32465174114
S0_BASE,real_0065,19.193774813833755,1.5615089830790367,16.0,57978.92215592387
