scenario,forecast,threshold,n,n_exceed,frequency,wilson95_low,wilson95_high
S0_BASE,fcst_max_compliance_dd,31.25,58,0,0.0,0.0,0.062117855787202914
S0_BASE,fcst_max_compliance_dd,31.5,58,0,0.0,0.0,0.062117855787202914
S0_BASE,fcst_max_compliance_dd,31.75,58,0,0.0,0.0,0.062117855787202914
S0_BASE,fcst_max_compliance_dd,32.0,58,0,0.0,0.0,0.062117855787202914
S0_BASE,fcst_max_compliance_dd,32.25,58,0,0.0,0.0,0.062117855787202914
S0_BASE,fcst_max_compliance_dd,32.5,58,0,0.0,0.0,0.062117855787202914
S0_BASE,fcst_max_compliance_dd,32.75,58,0,0.0,0.0,0.062117855787202914
S0_BASE,fcst_max_compliance_dd,33.0,58,0,0.0,0.0,0.062117855787202914
S0_BASE,fcst_stage4_mean_inflow,35000.0,58,58,1.0,0.9378821442127971,1.0
S0_BASE,fcst_stage4_mean_inflow,35500.0,58,57,0.9827586206896551,0.9085914190653199,0.9969499615539326
S0_BASE,fcst_stage4_mean_inflow,36000.0,58,55,0.9482758620689655,0.8586059880915734,0.9822538653405896
S0_BASE,fcst_stage4_mean_inflow,36500.0,58,52,0.896551724137931,0.7921189700751577,0.951718592576371
S0_BASE,fcst_stage4_mean_inflow,37000.0,58,51,0.8793103448275862,0.7712064595403911,0.9402903395175928
S0_BASE,fcst_stage4_mean_inflow,37500.0,58,39,0.6724137931034483,0.544240546784708,0.7791670891507392
S0_BASE,fcst_stage4_mean_inflow,38000.0,58,17,0.29310344827586204,0.19178182790962195,0.4201290089678412
S0_BASE,fcst_stage4_mean_inflow,38500.0,58,6,0.10344827586206896,0.048281407423628964,0.2078810299248423
S0_BASE,fcst_stage4_mean_inflow,39000.0,58,4,0.06896551724137931,0.027144247017578338,0.1643366631438035
S0_BASE,fcst_stage4_mean_inflow,39500.0,58,0,0.0,0.0,0.062117855787202914
S0_BASE,fcst_stage4_mean_inflow,40000.0,58,0,0.0,0.0,0.062117855787202914
S0_BASE,fcst_stage4_mean_inflow,40500.0,58,0,0.0,0.0,0.062117855787202914
S0_BASE,fcst_stage4_mean_inflow,41000.0,58,0,0.0,0.0,0.062117855787202914
S0_BASE,fcst_stage4_mean_inflow,41500.0,58,0,0.0,0.0,0.062117855787202914
S0_BASE,fcst_stage4_mean_inflow,42000.0,58,0,0.0,0.0,0.062117855787202914
