iteration,total_runs,obs_realization,par_realization,forecast_compliance,forecast_receptor,forecast_recovery,forecast_inflow,head_compliance,head_landholder,head_receptor,budget_mineinflow
1,131,real_0021,real_0021,0,0,0,0,27.4365,3.26215,6.03086,2.15019
1,131,real_0026,real_0026,0,0,0,0,15.5672,0.405754,0.626548,6.87775
1,131,real_0029,real_0029,0,0,0,0,21.3519,0.880889,0.843802,12.5342
1,131,real_0034,real_0034,0,0,0,0,78.6823,0.665775,1.01448,1.04385
1,131,real_0035,real_0035,0,0,0,0,28.2215,1.4328,5.34611,1.40533
1,131,real_0036,real_0036,0,0,0,0,42.2797,1.88284,2.57126,0.160726
1,131,real_0038,real_0038,0,0,0,0,1.7371,0.331746,0.854773,0.318802
1,131,real_0040,real_0040,0,0,0,0,5.03826,1.57104,1.43004,2.0411
1,131,real_0044,real_0044,0,0,0,0,26.6614,18.0985,30.5218,1.35982
1,131,real_0046,real_0046,0,0,0,0,14.3328,3.41199,2.95869,0.913652
1,131,real_0047,real_0047,0,0,0,0,5.0695,1.56937,2.29988,3.83272
1,131,real_0054,real_0054,0,0,0,0,77.017,1.87862,4.1002,0.289357
1,131,real_0057,real_0057,0,0,0,0,261.879,6.27601,12.885,21.9946
1,131,real_0058,real_0058,0,0,0,0,22.4549,6.28596,2.36513,0.45059
1,131,real_0062,real_0062,0,0,0,0,9.05154,1.08653,3.94886,3.57612
1,131,real_0063,real_0063,0,0,0,0,17.2841,1.51739,1.67659,3.01003
1,131,real_0064,real_0064,0,0,0,0,141.708,0.126231,0.0334591,3.38768
1,131,real_0065,real_0065,0,0,0,0,20.0044,0.225615,0.286713,2.72976
1,131,real_0066,real_0066,0,0,0,0,15.3404,0.494597,0.5102,0.597093
1,131,real_0067,real_0067,0,0,0,0,120.306,0.0808194,0.0583112,5.04347
1,131,real_0068,real_0068,0,0,0,0,42.1994,0.0084272,0.479084,6.20311
1,131,real_0069,real_0069,0,0,0,0,11.762,0.0214634,0.0365735,0.179137
1,131,real_0070,real_0070,0,0,0,0,42.3215,0.00119329,0.280834,3.19897
1,131,real_0071,real_0071,0,0,0,0,604.707,1.60935,0.737203,7.76951
1,131,real_0072,real_0072,0,0,0,0,239.783,0.000331366,1.39097,1.31475
1,131,real_0074,real_0074,0,0,0,0,22.706,0.174938,1.00245,1.00001
1,131,real_0075,real_0075,0,0,0,0,5.81059,4.73373,9.11054,1.57276
1,131,real_0076,real_0076,0,0,0,0,4.24066,1.64462,2.71357,0.37264
1,131,real_0084,real_0084,0,0,0,0,37.331,2.01228,5.24692,2.82527
1,131,real_0086,real_0086,0,0,0,0,85.3523,1.71312,3.42817,4.34967
1,131,real_0094,real_0094,0,0,0,0,18.691,3.70994,6.41836,3.84454
1,131,real_0095,real_0095,0,0,0,0,2.19341,0.469388,1.38673,1.28253
1,131,real_0096,real_0096,0,0,0,0,9.22835,0.363629,2.82017,8.4083
1,131,real_0099,real_0099,0,0,0,0,32.1376,5.65198,7.26183,5.77155
2,201,base,base,0,0,0,0,4.75899e-18,1.97033e-18,2.59107e-18,1.77493e-20
2,201,real_0002,real_0002,0,0,0,0,0.349681,0.078847,0.077698,0.307712
2,201,real_0006,real_0006,0,0,0,0,3.28848,0.0171969,0.0471466,0.258726
2,201,real_0009,real_0009,0,0,0,0,3.37653,0.0664474,0.74595,0.166135
2,201,real_0014,real_0014,0,0,0,0,2.3273,0.00839665,0.124258,0.0374364
2,201,real_0017,real_0017,0,0,0,0,5.12667,0.70124,0.235417,1.27548
2,201,real_0018,real_0018,0,0,0,0,0.333093,0.39088,0.00408786,0.0513454
2,201,real_0019,real_0019,0,0,0,0,0.759699,0.0577235,0.0541153,0.0999406
2,201,real_0021,real_0021,0,0,0,0,3.69433,0.506315,0.71244,1.08075
2,201,real_0026,real_0026,0,0,0,0,2.95497,0.00074492,0.100076,2.00153
2,201,real_0029,real_0029,0,0,0,0,5.03038,0.214986,0.273508,5.1234
2,201,real_0034,real_0034,0,0,0,0,1.28057,0.0293138,0.0223667,0.122781
2,201,real_0035,real_0035,0,0,0,0,1.05855,0.00831276,0.16046,1.01942
2,201,real_0036,real_0036,0,0,0,0,5.60161,0.90511,1.28361,0.52239
2,201,real_0038,real_0038,0,0,0,0,0.256019,0.028319,0.128241,0.0217709
2,201,real_0040,real_0040,0,0,0,0,0.852861,0.254492,0.106507,0.424039
2,201,real_0044,real_0044,0,0,0,0,19.799,0.089904,0.285184,0.31757
2,201,real_0046,real_0046,0,0,0,0,1.74455,0.921479,0.262203,0.0564117
2,201,real_0047,real_0047,0,0,0,0,3.23436,0.0644499,0.0297389,0.572673
2,201,real_0054,real_0054,0,0,0,0,2.03169,0.394776,0.69375,0.0496005
2,201,real_0057,real_0057,0,0,0,0,55.6549,1.79168,4.12115,3.04776
2,201,real_0058,real_0058,0,0,0,0,1.52852,1.66811,0.190055,0.266689
2,201,real_0063,real_0063,0,0,0,0,3.46533,0.121791,0.0238529,0.306879
2,201,real_0064,real_0064,0,0,0,0,41.0058,0.00772377,0.163942,0.717578
2,201,real_0065,real_0065,0,0,0,0,5.61936,0.223176,0.411723,0.142823
2,201,real_0066,real_0066,0,0,0,0,1.35884,0.0320057,0.110205,0.0250037
2,201,real_0067,real_0067,0,0,0,0,1.88388,0.036686,0.0635309,1.09993
2,201,real_0068,real_0068,0,0,0,0,3.59943,0.301992,0.0383987,0.953731
2,201,real_0069,real_0069,0,0,0,0,1.08583,0.0110787,0.0198184,0.0293131
2,201,real_0070,real_0070,0,0,0,0,6.14436,0.021338,0.202051,0.244742
2,201,real_0071,real_0071,0,0,0,0,14.8646,0.0644606,1.35243,0.529318
2,201,real_0074,real_0074,0,0,0,0,2.09531,0.177407,0.0427762,0.117341
2,201,real_0075,real_0075,0,0,0,0,5.49155,0.0387829,0.0387984,0.124858
2,201,real_0076,real_0076,0,0,0,0,1.25311,0.34042,0.45773,0.00717951
2,201,real_0084,real_0084,0,0,0,0,0.156368,0.19414,1.15369,0.212591
2,201,real_0086,real_0086,0,0,0,0,4.13379,0.436069,0.763444,0.108191
2,201,real_0094,real_0094,0,0,0,0,0.433157,0.687209,0.990455,0.330574
2,201,real_0095,real_0095,0,0,0,0,1.14577,0.0250406,0.0942807,0.247323
2,201,real_0096,real_0096,0,0,0,0,2.13683,0.0493635,0.53394,1.32816
2,201,real_0099,real_0099,0,0,0,0,2.11967,0.176573,0.0476857,1.28001
3,272,base,base,0,0,0,0,1.83765e-08,1.23077e-10,3.71494e-10,1.205e-10
3,272,real_0002,real_0002,0,0,0,0,0.296472,0.0870783,0.0493605,0.156923
3,272,real_0006,real_0006,0,0,0,0,1.23084,0.0157951,0.0413749,0.179613
3,272,real_0009,real_0009,0,0,0,0,1.25552,0.00550059,0.35768,0.0342274
3,272,real_0014,real_0014,0,0,0,0,0.494075,0.0388306,0.0199594,0.0272232
3,272,real_0017,real_0017,0,0,0,0,1.38034,0.284127,0.128958,0.390307
3,272,real_0018,real_0018,0,0,0,0,0.281368,0.181475,0.02594,0.0274719
3,272,real_0019,real_0019,0,0,0,0,0.474908,0.0346804,0.0365361,0.0539283
