run_id,stage,obs_name,time_days_stage,time_years_total,head_m
stage_c_forward,predevelopment,compliance,1.0,0.0027378507871321013,44.32619426882555
stage_c_forward,ops_stage_1,compliance,365.25,1.0,41.58537445031747
stage_c_forward,ops_stage_1,compliance,730.5,2.0,40.55909637699115
stage_c_forward,ops_stage_1,compliance,1095.75,3.0,40.0792112682504
stage_c_forward,ops_stage_1,compliance,1461.0,4.0,39.803581912937474
stage_c_forward,ops_stage_1,compliance,1826.25,5.0,39.61974564147458
stage_c_forward,ops_stage_2,compliance,365.25,6.0,32.42133387258831
stage_c_forward,ops_stage_2,compliance,730.5,7.0,30.13864785317042
stage_c_forward,ops_stage_2,compliance,1095.75,8.0,29.142292328643524
stage_c_forward,ops_stage_2,compliance,1461.0,9.0,28.569099512377342
stage_c_forward,ops_stage_2,compliance,1826.25,10.0,28.177521886295573
stage_c_forward,ops_stage_3,compliance,365.25,11.0,22.135055699510804
stage_c_forward,ops_stage_3,compliance,730.5,12.0,20.23278539824631
stage_c_forward,ops_stage_3,compliance,1095.75,13.0,19.36087252315643
stage_c_forward,ops_stage_3,compliance,1461.0,14.0,18.82439517697258
stage_c_forward,ops_stage_3,compliance,1826.25,15.0,18.444389465191172
stage_c_forward,ops_stage_4,compliance,365.25,16.0,16.81921842581105
stage_c_forward,ops_stage_4,compliance,730.5,17.0,16.185019580490565
stage_c_forward,ops_stage_4,compliance,1095.75,18.0,15.828665641039866
stage_c_forward,ops_stage_4,compliance,1461.0,19.0,15.58008910102111
stage_c_forward,ops_stage_4,compliance,1826.25,20.0,15.38963579104194
stage_c_forward,recovery,compliance,365.25,21.0,23.9372520970419
stage_c_forward,recovery,compliance,730.5,22.0,28.97642081811699
stage_c_forward,recovery,compliance,1095.75,23.0,31.920841579191364
stage_c_forward,recovery,compliance,1461.0,24.0,33.948515576988385
stage_c_forward,recovery,compliance,1826.25,25.0,35.46776528133503
stage_c_forward,recovery,compliance,2191.5,26.0,36.67079216053865
stage_c_forward,recovery,compliance,2556.75,27.0,37.65861649683563
stage_c_forward,recovery,compliance,2922.0,28.0,38.48822632365311
stage_c_forward,recovery,compliance,3287.25,29.0,39.19341187021741
stage_c_forward,recovery,compliance,3652.5,30.0,39.7952218012757
stage_c_forward,recovery,compliance,4017.75,31.0,40.2947154966211
stage_c_forward,recovery,compliance,4383.0,32.0,40.71424686470367
stage_c_forward,recovery,compliance,4748.25,33.0,41.086016774920274
stage_c_forward,recovery,compliance,5113.5,34.0,41.41716307733027
stage_c_forward,recovery,compliance,5478.75,35.0,41.71246466889108
stage_c_forward,recovery,compliance,5844.0,36.0,41.97597097025381
stage_c_forward,recovery,compliance,6209.25,37.0,42.21115361092525
stage_c_forward,recovery,compliance,6574.5,38.0,42.42105465827692
stage_c_forward,recovery,compliance,6939.75,39.0,42.608348546431294
stage_c_forward,recovery,compliance,7305.0,40.0,42.77542576046995
stage_c_forward,recovery,compliance,7670.25,41.0,42.92443629423607
stage_c_forward,recovery,compliance,8035.5,42.0,43.05729030885048
stage_c_forward,recovery,compliance,8400.75,43.0,43.175723732192196
stage_c_forward,recovery,compliance,8766.0,44.0,43.28128181847355
stage_c_forward,recovery,compliance,9131.25,45.0,43.375333110694726
stage_c_forward,recovery,compliance,9496.5,46.0,43.45912033457043
stage_c_forward,recovery,compliance,9861.75,47.0,43.53379153420747
stage_c_forward,recovery,compliance,10227.0,48.0,43.60024526580847
stage_c_forward,recovery,compliance,10592.25,49.0,43.65942483647429
stage_c_forward,recovery,compliance,10957.5,50.0,43.71214026464596
stage_c_forward,recovery,compliance,11322.75,51.0,43.75907772340393
stage_c_forward,recovery,compliance,11688.0,52.0,43.800872299708175
stage_c_forward,recovery,compliance,12053.25,53.0,43.83806200935411
stage_c_forward,recovery,compliance,12418.5,54.0,43.87117384540175
stage_c_forward,recovery,compliance,12783.75,55.0,43.90065087604806
stage_c_forward,recovery,compliance,13149.0,56.0,43.92688633086268
stage_c_forward,recovery,compliance,13514.25,57.0,43.950240833694785
stage_c_forward,recovery,compliance,13879.5,58.0,43.97102317485495
stage_c_forward,recovery,compliance,14244.75,59.0,43.9895150598313
stage_c_forward,recovery,compliance,14610.0,60.0,44.00598430464314
stage_c_forward,recovery,compliance,14975.25,61.0,44.02063555671489
stage_c_forward,recovery,compliance,15340.5,62.0,44.0336730016548
stage_c_forward,recovery,compliance,15705.75,63.0,44.04527821834096
stage_c_forward,recovery,compliance,16071.0,64.0,44.05560286727878
stage_c_forward,recovery,compliance,16436.25,65.0,44.064789061194425
stage_c_forward,recovery,compliance,16801.5,66.0,44.07296815397044
stage_c_forward,recovery,compliance,17166.75,67.0,44.08024172687109
stage_c_forward,recovery,compliance,17532.0,68.0,44.08669162167093
stage_c_forward,recovery,compliance,17897.25,69.0,44.09246375346839
stage_c_forward,recovery,compliance,18262.5,70.0,44.09759821733157
stage_c_forward,recovery,compliance,18627.75,71.0,44.102161807052525
stage_c_forward,recovery,compliance,18993.0,72.0,44.10622740294695
stage_c_forward,recovery,compliance,19358.25,73.0,44.10984233944341
stage_c_forward,recovery,compliance,19723.5,74.0,44.113056944367194
stage_c_forward,recovery,compliance,20088.75,75.0,44.11591474895817
