h_compliance_005y 39.61974564147458
h_compliance_010y 28.177521886295573
h_compliance_015y 18.444389465191172
h_compliance_020y 15.38963579104194
h_compliance_025y 35.46776528133503
h_compliance_050y 43.71214026464596
h_compliance_120y 44.138825896242636
h_receptor_005y 41.46712923522095
h_receptor_010y 40.90624903464999
h_receptor_020y 40.12223208165198
h_receptor_050y 41.634632168268226
h_receptor_120y 41.676796200243466
h_landholder_020y 40.101845116800455
h_landholder_120y 41.66808197976196
q_mineinflow_005y 13064.931572756383
q_mineinflow_010y 36684.19530205098
q_mineinflow_015y 48982.3975244735
q_mineinflow_020y 48613.020611542495
fcst_max_receptor_dd 1.5631640353770138
fcst_max_compliance_dd 28.936558477783613
fcst_recovery_years 25.0
fcst_stage4_mean_inflow 50726.36155260878
