parnme,parval
pp_upper_001,0.15188086542518020038983195
pp_upper_002,0.10471428508135233181874924
pp_upper_003,0.11045316276645070208139998
pp_upper_004,0.35887248553482814505954934
pp_upper_005,0.21335095201127590724965444
pp_upper_006,-0.1320137679898282234702833
pp_upper_007,-0.1189005440998954221676343
pp_upper_008,0.23571526364343331483297561
pp_upper_009,0.22959818207874094220244388
pp_upper_010,0.54881825558236463358241508
pp_upper_011,0.01743596649688038124903500
pp_upper_012,4.3757930444983279827387e-03
pp_upper_013,-0.5026987515146674745381006
pp_upper_014,0.51348002690806915371268815
pp_upper_015,-0.0387528346515656346715772
pp_main_001,0.52253226880324121772503076
pp_main_002,-0.0166435246329079931937311
pp_main_003,0.24380071270329078947369794
pp_main_004,-0.2624466125578357456049616
pp_main_005,0.49570912505121200730684450
pp_main_006,0.33489446185213739282104939
pp_main_007,-0.1681386631814555665531685
pp_main_008,-0.3175260680973046034658580
pp_main_009,-0.1961461039287084873183886
pp_main_010,-0.1968640919471603412116423
pp_main_011,-0.1116244425514201776827861
pp_main_012,0.39973525282827837568078166
pp_main_013,-0.0138258417124887574012337
pp_main_014,-0.4506806188537368917934600
pp_main_015,-0.4036673235786547020431669
pp_main_016,-8.491225557009762781036e-03
pp_main_017,-0.1224309037807273098374949
pp_main_018,0.06540889418188408632737207
pp_main_019,0.04412131835662862905378390
pp_main_020,-0.1732336185585351406857058
pp_main_021,-0.4471845321308939857907205
pp_main_022,0.09841875287898065038927342
pp_main_023,0.14763123372775677211166112
pp_main_024,-0.1584873934132223494142266
pp_main_025,0.06049570868323740635563723
pp_main_026,-0.0915752169463258519632731
pp_main_027,-0.2494021839772535553692023
pp_main_028,0.02795446126345408482949395
pp_main_029,0.40171617432236667033507160
pp_main_030,0.04525733857286758782256797
pp_main_031,-0.0356187611808910231658842
pp_main_032,0.08787236505815779197270388
pp_main_033,-0.4436780372234313540857897
pp_main_034,-0.2183390710221959629677713
pp_main_035,0.16436804535780361047336839
pp_lower_001,-0.1535126201979184479284868
pp_lower_002,-3.452368421910032014743e-03
pp_lower_003,0.08787746534751940397089953
pp_lower_004,-0.1248555260811152478606090
pp_lower_005,-0.3328040050682510297974659
pp_lower_006,-0.5004403471419139881604110
pp_lower_007,0.38936670143163881752101929
pp_lower_008,0.02051961321171058560963729
pp_lower_009,0.18642763442123103101444315
pp_lower_010,-0.1638312423719064381266719
pp_lower_011,-0.3040304644040051074149744
pp_lower_012,0.23090406176005923155614141
pp_lower_013,-0.3902548838883262982690781
pp_lower_014,-0.1076667520230127766955874
pp_lower_015,-0.0793448529633382360071181
rch_mult,0.88492673906014929219310261
ghbcond_mult,1.07525203048768736024953796
riverbedk_mult,0.89762810100371104304883829
channel_mult,0.99536727096342392240302388
backfill_mult,1.06019313623430377901968313
