parnme,n_realizations,mean,std,min,p05,p50,p95,max
backfill_mult,58,1.0117496361407468,0.2041935602145209,0.411150101115647,0.7259795495889039,1.025618597653852,1.3615595339174649,1.4645534882264626
channel_mult,58,1.0169298429525384,0.1496115607039635,0.7310983403865785,0.764907018382678,1.0094524991312668,1.2526715811401825,1.3227505702490552
ghbcond_mult,58,0.991390757099245,0.1378995282170391,0.702168729588001,0.7735753939723722,0.9955392130825478,1.1875647391702808,1.3601975998693263
pp_lower_001,58,-0.001956940840127183,0.2836465033131225,-0.6084018980957143,-0.4870814804168728,0.024468315893363804,0.4558831213410582,0.7705894684092254
pp_lower_002,58,0.04335571391725495,0.31704747042749426,-0.977335409578562,-0.41284321731319495,0.06260524529453321,0.49458743659432897,0.5753280844847926
pp_lower_003,58,0.005006855515261343,0.30728972010744454,-0.6136082313154194,-0.511909564121376,-0.04732991668998358,0.474079112386927,0.6495075489018038
pp_lower_004,58,-0.021731806613596943,0.31189027708918265,-0.6164296557696949,-0.4881198351238818,-0.0701586390768845,0.5716563729609067,0.6737096291239896
pp_lower_005,58,-0.10230078922431025,0.3183699845539915,-0.7946590041481172,-0.63864307016455,-0.09730774537491495,0.34685307493308104,0.6297504764086697
pp_lower_006,58,0.05711779950167918,0.2748673662499194,-0.46483662564134065,-0.39011226168329083,0.09425603900809561,0.4905022309892561,0.5700276283965312
pp_lower_007,58,-0.00849266971522308,0.34853259287060107,-0.595781614596951,-0.49470182758764886,-0.06751390292501115,0.5377247997095236,0.8379100593171769
pp_lower_008,58,-0.06408060357869562,0.2523178441073891,-0.9264985808093907,-0.4552789936146066,-0.053888284834212166,0.2589317173764313,0.29750492534025436
pp_lower_009,58,-0.05751876498279795,0.33177415844284236,-0.7227091617101489,-0.622858354722327,-0.06190907921137519,0.4836087908068376,0.8449066613213083
pp_lower_010,58,-0.071339850908226,0.32181471086919994,-0.8433706553741032,-0.48662357992682087,-0.08484290122279209,0.49141885782871414,0.7465858253357603
