parnme,parval
pp_upper_001,0.09328135248277413804629532
pp_upper_002,-0.0163566787838589945691670
pp_upper_003,-3.456121952762080534738e-03
pp_upper_004,0.32003665242730450213315407
pp_upper_005,0.07757852418945904160452187
pp_upper_006,-0.1788804561448790464428527
pp_upper_007,-0.1677932549574927545421588
pp_upper_008,0.17269492871190245120160967
pp_upper_009,0.16298307741031689555022410
pp_upper_010,0.53360965021974038346996849
pp_upper_011,-0.0144917081362708408120987
pp_upper_012,-0.0501475763223638293375473
pp_upper_013,-0.5683040289161986891031120
pp_upper_014,0.41373507490637084771378795
pp_upper_015,0.03358808102522613248108740
pp_main_001,0.43293783694545484586058137
pp_main_002,0.11199438845227030481233044
pp_main_003,0.25455554975889749247386362
pp_main_004,-0.1771532594074103073022997
pp_main_005,0.52396885609032339825574809
pp_main_006,0.28742317905109793230167270
pp_main_007,-0.1245398028236666260193388
pp_main_008,-0.1014671211023239622006642
pp_main_009,-0.0681612252573475518868662
pp_main_010,6.9060354714384555863127e-03
pp_main_011,-0.0148292233288352809372768
pp_main_012,0.21912538281702501063996635
pp_main_013,0.17467372287920499007718433
pp_main_014,-0.2518599215032105709255461
pp_main_015,-0.3461143953178051901886647
pp_main_016,-0.0410221457302589673221682
pp_main_017,-0.0667960313291936919055658
pp_main_018,0.05173086627881611637702619
pp_main_019,0.02481954104292462964798105
pp_main_020,-0.0897055560533419060753602
pp_main_021,-0.3797675923823677357482609
pp_main_022,0.10072525982707943026372988
pp_main_023,8.9756527084287555245945e-03
pp_main_024,-0.2102487049981866806813713
pp_main_025,0.06234942204078312150139496
pp_main_026,-5.556501633596444555963e-03
pp_main_027,-0.2237625310246654786183740
pp_main_028,-0.1038816393822601102936432
pp_main_029,0.30248606895705421049314054
pp_main_030,-0.0535576200722029521772427
pp_main_031,-0.1972569191547142164466777
pp_main_032,0.24840111203996201316712700
pp_main_033,-0.4493268433670659645073897
pp_main_034,-0.2566856632794156101162741
pp_main_035,0.22356536892631090340799460
pp_lower_001,-0.2398177200440692879990223
pp_lower_002,-0.0742583173582563316195149
pp_lower_003,-0.0377096445794996570910484
pp_lower_004,-0.3636189379853419501031908
pp_lower_005,-0.3220013149789086592811316
pp_lower_006,-0.4581946557529439911782276
pp_lower_007,0.38475939481883358883607116
pp_lower_008,-0.0548173278738042779600903
pp_lower_009,0.03246099147056851624837392
pp_lower_010,-0.1980638881300288423048528
pp_lower_011,-0.0739558564676128793458076
pp_lower_012,0.31487897674203002562620668
pp_lower_013,-0.4411541969310450728158912
pp_lower_014,-0.1571576125506317367364062
pp_lower_015,0.01539702251139179328687234
rch_mult,0.93769598043412094590109973
ghbcond_mult,1.13046913016533467910562649
riverbedk_mult,0.92810750200793590281023171
channel_mult,0.94878044486489254705219309
backfill_mult,1.13460353031623006891948080
