h_compliance_005y 40.51914943606465
h_compliance_010y 31.102663244891712
h_compliance_015y 23.727962458706454
h_compliance_020y 22.957962711072884
h_compliance_025y 35.31943177327383
h_compliance_050y 44.11794110991755
h_compliance_120y 44.67897009688338
h_receptor_005y 41.54078586197962
h_receptor_010y 41.15269445851215
h_receptor_020y 40.608713204926104
h_receptor_050y 41.64050529148193
h_receptor_120y 41.69144687392037
h_landholder_020y 40.324954694536814
h_landholder_120y 41.734587160427225
q_mineinflow_005y 12235.268696387715
q_mineinflow_010y 31651.123572387143
q_mineinflow_015y 40410.7991086962
q_mineinflow_020y 36572.346971386265
fcst_max_receptor_dd 1.0871784467591183
fcst_max_compliance_dd 21.831832236160377
fcst_recovery_years 26.0
fcst_stage4_mean_inflow 37208.43514896689
