pargp,n_parameters,mean_of_means,mean_std,min_p05,median_p50,max_p95
GLOBAL,5,1.0026246010667574,0.15288673417752704,0.7219899801480718,1.0094524991312668,1.3615595339174649
PP_LOWER,15,-0.017805479801244497,0.3031646993643402,-0.63864307016455,-0.039278367355973856,0.5743344372677243
PP_MAIN,35,-0.014799008615892955,0.316128774746814,-0.831484109005244,-0.004899293372792683,0.7217466566699483
PP_UPPER,15,0.05816203376322778,0.30308067414559664,-0.5422156574738554,0.0647344906796015,0.6713488684011236
