iteration,total_runs,obs_realization,par_realization,forecast_compliance,forecast_receptor,forecast_recovery,forecast_inflow,head_compliance,head_landholder,head_receptor,budget_mineinflow
0,75,real_0085,real_0085,0,0,0,0,796.237,13.9705,48.8768,288.264
0,75,real_0086,real_0086,0,0,0,0,553.417,5.16214,7.02032,44.6863
0,75,real_0087,real_0087,0,0,0,0,4139.35,7.41631,10.1735,114.888
0,75,real_0088,real_0088,0,0,0,0,6827.79,1.41296,1.27675,36.6431
0,75,real_0089,real_0089,0,0,0,0,1084.57,0.389687,0.175439,7.543
0,75,real_0090,real_0090,0,0,0,0,88.8072,4.26505,12.7828,6.5684
0,75,real_0091,real_0091,0,0,0,0,131.514,0.275913,1.21837,0.310444
0,75,real_0095,real_0095,0,0,0,0,892.913,78.761,200.747,53.4644
0,75,real_0096,real_0096,0,0,0,0,1614.52,1.16226,4.04216,31.3881
0,75,real_0099,real_0099,0,0,0,0,181.969,13.4417,17.7296,12.6331
1,182,base,base,0,0,0,0,3.63774e-18,8.22872e-19,7.28889e-18,8.64838e-21
1,182,real_0002,real_0002,0,0,0,0,55.1885,0.271374,0.0687348,0.318819
1,182,real_0004,real_0004,0,0,0,0,25.2642,1.92603,5.89537,3.50039
1,182,real_0006,real_0006,0,0,0,0,242.768,0.00439886,0.495594,0.222951
1,182,real_0008,real_0008,0,0,0,0,5.98303,2.07139,0.928187,2.61095
1,182,real_0009,real_0009,0,0,0,0,74.403,4.12807,9.70193,0.967448
1,182,real_0010,real_0010,0,0,0,0,56.5728,2.22796,1.62315,2.98223
1,182,real_0011,real_0011,0,0,0,0,3.11406,1.15719,0.094962,0.196333
1,182,real_0012,real_0012,0,0,0,0,209.163,0.0656498,0.0854364,0.202783
1,182,real_0018,real_0018,0,0,0,0,41.9101,0.438884,0.00708763,0.367376
1,182,real_0019,real_0019,0,0,0,0,2.56002,0.393065,1.26471,0.0950839
1,182,real_0020,real_0020,0,0,0,0,1.79082,3.14238,2.31584,0.352691
1,182,real_0021,real_0021,0,0,0,0,10.1228,0.234516,0.0757237,5.39777
1,182,real_0022,real_0022,0,0,0,0,10.8931,0.00526856,0.932987,0.0397534
1,182,real_0023,real_0023,0,0,0,0,37.7698,2.27457,2.55439,5.8181
1,182,real_0026,real_0026,0,0,0,0,14.7406,0.529543,0.498501,3.8997
1,182,real_0027,real_0027,0,0,0,0,20.9557,1.72452,0.438361,0.0885764
1,182,real_0028,real_0028,0,0,0,0,6.1629,1.66217,2.70976,0.379005
1,182,real_0029,real_0029,0,0,0,0,8.06821,0.0748508,0.0790183,7.40111
1,182,real_0030,real_0030,0,0,0,0,275.608,0.00124947,0.554842,9.22859
1,182,real_0031,real_0031,0,0,0,0,6.80741,0.526979,0.125585,9.23704
1,182,real_0032,real_0032,0,0,0,0,6.14938,0.347977,0.26438,0.152744
1,182,real_0034,real_0034,0,0,0,0,6.02537,0.286636,0.717193,0.0568097
1,182,real_0035,real_0035,0,0,0,0,6.65143,0.280369,1.92682,1.98079
1,182,real_0036,real_0036,0,0,0,0,33.7585,0.72522,0.253625,0.0411074
1,182,real_0038,real_0038,0,0,0,0,2.19167,0.0831502,0.0679892,0.0296604
1,182,real_0039,real_0039,0,0,0,0,99.1431,2.34596,1.87938,12.5664
1,182,real_0040,real_0040,0,0,0,0,14.5053,1.22188,0.313988,0.55476
1,182,real_0044,real_0044,0,0,0,0,27.5695,3.78241,5.40434,0.271014
1,182,real_0046,real_0046,0,0,0,0,8.66056,1.89969,0.426824,0.247624
1,182,real_0047,real_0047,0,0,0,0,15.3943,0.457046,0.302567,2.25222
1,182,real_0049,real_0049,0,0,0,0,45.7619,0.25677,2.03354,0.323168
1,182,real_0054,real_0054,0,0,0,0,15.66,0.0212969,0.0420863,0.259907
1,182,real_0057,real_0057,0,0,0,0,91.2482,5.45274,7.13855,17.6096
1,182,real_0060,real_0060,0,0,0,0,54.2899,0.45332,0.927218,3.49992
1,182,real_0061,real_0061,0,0,0,0,7.45039,0.694003,5.82419,0.992217
1,182,real_0062,real_0062,0,0,0,0,16.6135,0.0875688,0.0257975,0.483926
1,182,real_0063,real_0063,0,0,0,0,4.83899,2.34763,1.19131,1.25367
1,182,real_0064,real_0064,0,0,0,0,1.42218,0.0235059,0.0925877,0.887525
1,182,real_0065,real_0065,0,0,0,0,14.6875,0.417333,0.866078,0.370155
1,182,real_0066,real_0066,0,0,0,0,1.52389,0.109093,0.0758409,0.064138
1,182,real_0067,real_0067,0,0,0,0,147.76,0.155272,0.353996,3.84874
1,182,real_0068,real_0068,0,0,0,0,29.8611,0.0334122,0.562619,3.39506
1,182,real_0069,real_0069,0,0,0,0,10.1864,0.53402,1.12067,7.11944
1,182,real_0070,real_0070,0,0,0,0,4.48576,0.460654,0.509411,0.0475401
1,182,real_0074,real_0074,0,0,0,0,4.58398,0.179935,0.103539,0.0634901
1,182,real_0075,real_0075,0,0,0,0,5.18045,2.2272,4.27486,0.41681
1,182,real_0076,real_0076,0,0,0,0,0.542567,0.735544,0.612162,0.17658
1,182,real_0079,real_0079,0,0,0,0,5.29051,0.390778,0.254997,0.0195657
1,182,real_0080,real_0080,0,0,0,0,19.913,0.372737,2.40082,0.466313
1,182,real_0083,real_0083,0,0,0,0,5.80634,1.72199,0.969352,0.0656223
1,182,real_0084,real_0084,0,0,0,0,71.0221,0.644178,1.10087,0.504568
1,182,real_0085,real_0085,0,0,0,0,7.20797,0.170781,1.56721,12.3249
1,182,real_0086,real_0086,0,0,0,0,61.0242,0.339987,0.616385,0.433446
1,182,real_0087,real_0087,0,0,0,0,18.5712,0.477145,2.14443,6.10592
1,182,real_0088,real_0088,0,0,0,0,168.081,0.162678,1.07635,8.03673
1,182,real_0089,real_0089,0,0,0,0,8.22215,0.0856039,0.0674287,1.34986
1,182,real_0090,real_0090,0,0,0,0,2.0979,0.0375932,0.141518,0.0469946
1,182,real_0091,real_0091,0,0,0,0,21.6812,0.0306779,0.040667,0.505186
1,182,real_0095,real_0095,0,0,0,0,46.1654,0.0583533,0.352911,0.196458
1,182,real_0096,real_0096,0,0,0,0,72.9146,0.138475,0.639341,1.6582
1,182,real_0099,real_0099,0,0,0,0,4.65903,1.82835,0.960779,0.88621
2,289,base,base,0,0,0,0,4.99834e-09,1.41538e-11,1.57224e-10,7.40119e-11
