run_id,stage,obs_name,time_days_stage,time_years_total,head_m
stage_c_forward,predevelopment,compliance,1.0,0.0027378507871321013,44.78979494723326
stage_c_forward,ops_stage_1,compliance,365.25,1.0,42.86229960942586
stage_c_forward,ops_stage_1,compliance,730.5,2.0,41.785696967818915
stage_c_forward,ops_stage_1,compliance,1095.75,3.0,41.175843623305624
stage_c_forward,ops_stage_1,compliance,1461.0,4.0,40.7897111437652
stage_c_forward,ops_stage_1,compliance,1826.25,5.0,40.51914943606465
stage_c_forward,ops_stage_2,compliance,365.25,6.0,36.05469718026039
stage_c_forward,ops_stage_2,compliance,730.5,7.0,33.74602515774904
stage_c_forward,ops_stage_2,compliance,1095.75,8.0,32.48317969656172
stage_c_forward,ops_stage_2,compliance,1461.0,9.0,31.67870090357124
stage_c_forward,ops_stage_2,compliance,1826.25,10.0,31.102663244891712
stage_c_forward,ops_stage_3,compliance,365.25,11.0,27.70813012803131
stage_c_forward,ops_stage_3,compliance,730.5,12.0,25.940742369676098
stage_c_forward,ops_stage_3,compliance,1095.75,13.0,24.922182771852892
stage_c_forward,ops_stage_3,compliance,1461.0,14.0,24.23727372524467
stage_c_forward,ops_stage_3,compliance,1826.25,15.0,23.727962458706454
stage_c_forward,ops_stage_4,compliance,365.25,16.0,23.66701542098461
stage_c_forward,ops_stage_4,compliance,730.5,17.0,23.500764983874276
stage_c_forward,ops_stage_4,compliance,1095.75,18.0,23.305786134282805
stage_c_forward,ops_stage_4,compliance,1461.0,19.0,23.121300314567705
stage_c_forward,ops_stage_4,compliance,1826.25,20.0,22.957962711072884
stage_c_forward,recovery,compliance,365.25,21.0,26.403177336066197
stage_c_forward,recovery,compliance,730.5,22.0,29.625336806326448
stage_c_forward,recovery,compliance,1095.75,23.0,32.020386938283934
stage_c_forward,recovery,compliance,1461.0,24.0,33.85866442101669
stage_c_forward,recovery,compliance,1826.25,25.0,35.31943177327383
stage_c_forward,recovery,compliance,2191.5,26.0,36.517603720437336
stage_c_forward,recovery,compliance,2556.75,27.0,37.5240925322806
stage_c_forward,recovery,compliance,2922.0,28.0,38.38230979120223
stage_c_forward,recovery,compliance,3287.25,29.0,39.119959702183515
stage_c_forward,recovery,compliance,3652.5,30.0,39.75405481236669
stage_c_forward,recovery,compliance,4017.75,31.0,40.27709873205348
stage_c_forward,recovery,compliance,4383.0,32.0,40.72160206789241
stage_c_forward,recovery,compliance,4748.25,33.0,41.12250825977747
stage_c_forward,recovery,compliance,5113.5,34.0,41.484096616940775
stage_c_forward,recovery,compliance,5478.75,35.0,41.80980749617275
stage_c_forward,recovery,compliance,5844.0,36.0,42.10301618112712
stage_c_forward,recovery,compliance,6209.25,37.0,42.366811167319895
stage_c_forward,recovery,compliance,6574.5,38.0,42.60402359733967
stage_c_forward,recovery,compliance,6939.75,39.0,42.81723445134883
stage_c_forward,recovery,compliance,7305.0,40.0,43.00878849477889
stage_c_forward,recovery,compliance,7670.25,41.0,43.180841598337786
